Date,Open,High,Low,Close
1984-09-08,136.76,136.76,136.76,136.76
1984-09-11,135.41,135.41,135.41,135.41
1984-09-12,135.83,135.83,135.83,135.83
1984-09-13,135.63,135.63,135.63,135.63
1984-09-14,135.28,135.28,135.28,135.28
1984-09-15,135.31,135.31,135.31,135.31
1984-09-17,134.81,134.81,134.81,134.81
1984-09-18,134.72,134.72,134.72,134.72
1984-09-19,134.54,134.54,134.54,134.54
1984-09-20,133.91,133.91,133.91,133.91
1984-09-21,132.93,132.93,132.93,132.93
1984-09-22,132.79,132.79,132.79,132.79
1984-09-24,133.27,133.27,133.27,133.27
1984-09-25,133.27,133.27,133.27,133.27
1984-09-26,132.74,132.74,132.74,132.74
1984-09-27,131.89,131.89,131.89,131.89
1984-09-28,134.14,134.14,134.14,134.14
1984-09-29,134.14,134.14,134.14,134.14
1984-10-02,134.14,134.14,134.14,134.14
1984-10-04,133.6,133.6,133.6,133.6
1984-10-05,133.85,133.85,133.85,133.85
1984-10-06,134.44,134.44,134.44,134.44
1984-10-08,134.28,134.28,134.28,134.28
1984-10-10,134.54,134.54,134.54,134.54
1984-10-11,133.67,133.67,133.67,133.67
1984-10-12,133.39,133.39,133.39,133.39
1984-10-13,133.76,133.76,133.76,133.76
1984-10-15,133.16,133.16,133.16,133.16
1984-10-16,132.32,132.32,132.32,132.32
1984-10-17,132.13,132.13,132.13,132.13
1984-10-18,131.87,131.87,131.87,131.87
1984-10-19,131.21,131.21,131.21,131.21
1984-10-20,131.01,131.01,131.01,131.01
1984-10-22,130.52,130.52,130.52,130.52
1984-10-23,130.88,130.88,130.88,130.88
1984-10-24,130.73,130.73,130.73,130.73
1984-10-25,130.44,130.44,130.44,130.44
1984-10-26,130.29,130.29,130.29,130.29
1984-10-27,130.53,130.53,130.53,130.53
1984-10-29,131.16,131.16,131.16,131.16
1984-10-30,130.9,130.9,130.9,130.9
1984-10-31,129.82,129.82,129.82,129.82
1984-11-01,129.82,129.82,129.82,129.82
1984-11-02,129.5,129.5,129.5,129.5
1984-11-03,129.71,129.71,129.71,129.71
1984-11-05,131.47,131.47,131.47,131.47
1984-11-06,132.49,132.49,132.49,132.49
1984-11-07,132.57,132.57,132.57,132.57
1984-11-08,134.37,134.37,134.37,134.37
1984-11-09,134.27,134.27,134.27,134.27
1984-11-10,134.13,134.13,134.13,134.13
1984-11-12,133.81,133.81,133.81,133.81
1984-11-13,132.56,132.56,132.56,132.56
1984-11-14,132.83,132.83,132.83,132.83
1984-11-15,132.19,132.19,132.19,132.19
1984-11-16,132.68,132.68,132.68,132.68
1984-11-17,132.61,132.61,132.61,132.61
1984-11-19,132.39,132.39,132.39,132.39
1984-11-20,133.15,133.15,133.15,133.15
1984-11-21,133.26,133.26,133.26,133.26
1984-11-22,133.51,133.51,133.51,133.51
1984-11-23,133.07,133.07,133.07,133.07
1984-11-24,133.25,133.25,133.25,133.25
1984-11-26,133.78,133.78,133.78,133.78
1984-11-27,134.13,134.13,134.13,134.13
1984-11-28,134.56,134.56,134.56,134.56
1984-11-29,135.14,135.14,135.14,135.14
1984-11-30,135.54,135.54,135.54,135.54
1984-12-01,135.54,135.54,135.54,135.54
1984-12-03,136.81,136.81,136.81,136.81
1984-12-04,136.5,136.5,136.5,136.5
1984-12-05,137.17,137.17,137.17,137.17
1984-12-06,137.32,137.32,137.32,137.32
1984-12-07,137.85,137.85,137.85,137.85
1984-12-08,138.21,138.21,138.21,138.21
1984-12-10,137.59,137.59,137.59,137.59
1984-12-11,137.37,137.37,137.37,137.37
1984-12-12,137.25,137.25,137.25,137.25
1984-12-13,137.5,137.5,137.5,137.5
1984-12-14,137.89,137.89,137.89,137.89
1984-12-15,138.2,138.2,138.2,138.2
1984-12-17,138.25,138.25,138.25,138.25
1984-12-18,138.68,138.68,138.68,138.68
1984-12-19,138.9,138.9,138.9,138.9
1984-12-20,140.02,140.02,140.02,140.02
1984-12-21,141.19,141.19,141.19,141.19
1984-12-22,142.13,142.13,142.13,142.13
1984-12-24,142.46,142.46,142.46,142.46
1985-01-04,139.53,139.53,139.53,139.53
1985-01-05,141.79,141.79,141.79,141.79
1985-01-07,145.51,145.51,145.51,145.51
1985-01-08,145.39,145.39,145.39,145.39
1985-01-09,143.26,143.26,143.26,143.26
1985-01-10,141.93,141.93,141.93,141.93
1985-01-11,140.06,140.06,140.06,140.06
1985-01-12,141.05,141.05,141.05,141.05
1985-01-14,139.45,139.45,139.45,139.45
1985-01-15,139.64,139.64,139.64,139.64
1985-01-16,139.92,139.92,139.92,139.92
1985-01-17,138.66,138.66,138.66,138.66
1985-01-18,138.24,138.24,138.24,138.24
1985-01-19,138.38,138.38,138.38,138.38
1985-01-21,138.6,138.6,138.6,138.6
1985-01-22,139.09,139.09,139.09,139.09
1985-01-23,139.75,139.75,139.75,139.75
1985-01-24,139.43,139.43,139.43,139.43
1985-01-25,138.75,138.75,138.75,138.75
1985-01-26,138.6,138.6,138.6,138.6
1985-01-28,137.89,137.89,137.89,137.89
1985-01-29,137.81,137.81,137.81,137.81
1985-01-30,137.97,137.97,137.97,137.97
1985-01-31,138.9,138.9,138.9,138.9
1985-02-01,138.84,138.84,138.84,138.84
1985-02-02,138.48,138.48,138.48,138.48
1985-02-04,136.87,136.87,136.87,136.87
1985-02-05,137.07,137.07,137.07,137.07
1985-02-06,137.21,137.21,137.21,137.21
1985-02-07,136.59,136.59,136.59,136.59
1985-02-08,136.69,136.69,136.69,136.69
1985-02-09,136.01,136.01,136.01,136.01
1985-02-11,136.67,136.67,136.67,136.67
1985-02-13,136.05,136.05,136.05,136.05
1985-02-14,134.86,134.86,134.86,134.86
1985-02-15,135.24,135.24,135.24,135.24
1985-02-16,135.22,135.22,135.22,135.22
1985-02-18,134.35,134.35,134.35,134.35
1985-02-19,134.87,134.87,134.87,134.87
1985-02-21,133.65,133.65,133.65,133.65
1985-02-22,133.37,133.37,133.37,133.37
1985-02-23,134.82,134.82,134.82,134.82
1985-02-25,134.55,134.55,134.55,134.55
1985-02-26,134.64,134.64,134.64,134.64
1985-02-27,134.98,134.98,134.98,134.98
1985-02-28,134.93,134.93,134.93,134.93
1985-03-02,134.93,134.93,134.93,134.93
1985-03-04,135.35,135.35,135.35,135.35
1985-03-05,135.72,135.72,135.72,135.72
1985-03-06,135.16,135.16,135.16,135.16
1985-03-07,134.49,134.49,134.49,134.49
1985-03-08,133.4,133.4,133.4,133.4
1985-03-09,133.39,133.39,133.39,133.39
1985-03-11,133.11,133.11,133.11,133.11
1985-03-12,132.73,132.73,132.73,132.73
1985-03-13,132.42,132.42,132.42,132.42
1985-03-14,132.98,132.98,132.98,132.98
1985-03-15,134.23,134.23,134.23,134.23
1985-03-16,134.74,134.74,134.74,134.74
1985-03-18,134.28,134.28,134.28,134.28
1985-03-19,134.12,134.12,134.12,134.12
1985-03-20,133.92,133.92,133.92,133.92
1985-03-21,133.99,133.99,133.99,133.99
1985-03-22,134.07,134.07,134.07,134.07
1985-03-23,134.05,134.05,134.05,134.05
1985-03-25,134.44,134.44,134.44,134.44
1985-03-26,134.46,134.46,134.46,134.46
1985-03-27,134.75,134.75,134.75,134.75
1985-03-28,135.23,135.23,135.23,135.23
1985-03-29,135.08,135.08,135.08,135.08
1985-03-30,136.46,136.46,136.46,136.46
1985-04-01,136.3,136.3,136.3,136.3
1985-04-02,136.28,136.28,136.28,136.28
1985-04-03,138.42,138.42,138.42,138.42
1985-04-04,138.31,138.31,138.31,138.31
1985-04-06,138.41,138.41,138.41,138.41
1985-04-08,136.74,136.74,136.74,136.74
1985-04-09,137.82,137.82,137.82,137.82
1985-04-10,137.35,137.35,137.35,137.35
1985-04-11,137.11,137.11,137.11,137.11
1985-04-12,136.53,136.53,136.53,136.53
1985-04-13,136.88,136.88,136.88,136.88
1985-04-15,136.27,136.27,136.27,136.27
1985-04-16,136.37,136.37,136.37,136.37
1985-04-17,135.81,135.81,135.81,135.81
1985-04-18,135.31,135.31,135.31,135.31
1985-04-19,135.43,135.43,135.43,135.43
1985-04-20,135.92,135.92,135.92,135.92
1985-04-22,135.48,135.48,135.48,135.48
1985-04-23,135.06,135.06,135.06,135.06
1985-04-24,134.88,134.88,134.88,134.88
1985-04-25,134.97,134.97,134.97,134.97
1985-04-26,134.85,134.85,134.85,134.85
1985-04-27,134.62,134.62,134.62,134.62
1985-04-29,134.31,134.31,134.31,134.31
1985-04-30,134.15,134.15,134.15,134.15
1985-05-01,134.06,134.06,134.06,134.06
1985-05-02,133.94,133.94,133.94,133.94
1985-05-03,133.56,133.56,133.56,133.56
1985-05-04,133.96,133.96,133.96,133.96
1985-05-06,133.78,133.78,133.78,133.78
1985-05-07,133.63,133.63,133.63,133.63
1985-05-08,134.44,134.44,134.44,134.44
1985-05-09,133.76,133.76,133.76,133.76
1985-05-10,133.16,133.16,133.16,133.16
1985-05-11,132.78,132.78,132.78,132.78
1985-05-13,132.85,132.85,132.85,132.85
1985-05-14,132.61,132.61,132.61,132.61
1985-05-15,132.56,132.56,132.56,132.56
